"County","State","Year","No. ofBEACHActBeaches","No. ofMonitoredBeaches","Percent ofTotalBeachesMonitored","TotalLengthof MonitoredBeaches(Mi)","No. ofTier 1Beaches","No. ofTier 1MonitoredBeaches","Percent ofTier 1BeachesMonitored","No. ofMonitoredBeacheswithActions","No. ofMonitoredBeacheswithoutActions","Percent ofMonitoredBeachesAffectedby aBeachAction","TotalNo.of BeachActions","No. of Actions Lessthan 1 Day Duration","Percent ofActionsLess than1 DayDuration","No. ofActions of1 DayDuration","Percent ofActions of1 DayDuration","No. ofActions of2 DayDuration","Percent ofActions of2 DayDuration","No. ofActions of3 - 7 DayDuration","Percent ofActions of3 - 7 DayDuration","No. ofActions of8 - 30 DayDuration","Percent  ofActions of8 - 30 DayDuration","No. ofActionsGreaterthan30 DayDuration","Percent ofActionsGreaterthan30 DayDuration","No. ofBeachDays(MonitoredBeaches)","No. ofDaysUndera BeachAction(MonitoredBeaches)","PercentDaysUnder aBeachAction(MonitoredBeaches)","No. ofDaysNot Undera BeachAction(MonitoredBeaches)","PercentDaysNot Under aBeachAction(MonitoredBeaches)"
"MARTIN","FL","2018","21","8","38.1","21","8","8","100","1","7","12.5","1","0","0","0","0","0","0","0","0","1","100","0","0","2912","20",".69","2892","99.31"
"MARTIN","FL","2017","21","8","38.1","21","8","8","100","1","7","12.5","1","0","0","0","0","0","0","0","0","0","0","1","100","2912","76","2.61","2836","97.39"
"MASON","MI","2018","11","7","63.64","2","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","686","0","0","686","100"
"MASON","WA","2018","62","4","6.45","1","4","4","100","0","4","0","1","0","0","0","0","0","0","0","0","0","0","1","100","420","0","0","420","100"
"MASON","WA","2017","62","4","6.45","1","4","4","100","1","3","25","2","0","0","0","0","0","0","1","50","0","0","1","50","420","6","1.43","414","98.57"
"MASON","MI","2017","11","7","63.64","2","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","686","0","0","686","100"
"MATAGORDA","TX","2018","12","3","25","13","3","3","100","3","0","100","43","0","0","0","0","16","37.21","27","62.79","0","0","0","0","1092","114","10.44","978","89.56"
"MATAGORDA","TX","2017","12","3","25","13","3","3","100","3","0","100","27","0","0","0","0","13","48.15","14","51.85","0","0","0","0","1092","68","6.23","1024","93.77"
"MATHEWS","VA","2018","1","1","100","1","1","1","100","1","0","100","2","0","0","2","100","0","0","0","0","0","0","0","0","153","2","1.31","151","98.69"
"MATHEWS","VA","2017","1","1","100","1","1","1","100","1","0","100","2","0","0","2","100","0","0","0","0","0","0","0","0","153","2","1.31","151","98.69"
"MCINTOSH","GA","2018","6","2","33.33","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","360","0","0","360","100"
"MCINTOSH","GA","2017","6","2","33.33","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","360","0","0","360","100"
"MENDOCINO","CA","2018","3","3","100","1","3","3","100","3","0","100","3","0","0","0","0","3","100","0","0","0","0","0","0","1092","6",".55","1086","99.45"
"MENDOCINO","CA","2017","3","3","100","1","3","3","100","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1092","0","0","1092","100"
