"County","State","Year","No. ofBEACHActBeaches","No. ofMonitoredBeaches","Percent ofTotalBeachesMonitored","TotalLengthof MonitoredBeaches(Mi)","No. ofTier 1Beaches","No. ofTier 1MonitoredBeaches","Percent ofTier 1BeachesMonitored","No. ofMonitoredBeacheswithActions","No. ofMonitoredBeacheswithoutActions","Percent ofMonitoredBeachesAffectedby aBeachAction","TotalNo.of BeachActions","No. of Actions Lessthan 1 Day Duration","Percent ofActionsLess than1 DayDuration","No. ofActions of1 DayDuration","Percent ofActions of1 DayDuration","No. ofActions of2 DayDuration","Percent ofActions of2 DayDuration","No. ofActions of3 - 7 DayDuration","Percent ofActions of3 - 7 DayDuration","No. ofActions of8 - 30 DayDuration","Percent  ofActions of8 - 30 DayDuration","No. ofActionsGreaterthan30 DayDuration","Percent ofActionsGreaterthan30 DayDuration","No. ofBeachDays(MonitoredBeaches)","No. ofDaysUndera BeachAction(MonitoredBeaches)","PercentDaysUnder aBeachAction(MonitoredBeaches)","No. ofDaysNot Undera BeachAction(MonitoredBeaches)","PercentDaysNot Under aBeachAction(MonitoredBeaches)"
"NAGUABO","PR","2018","1","1","100","0","1","1","100","1","0","100","10","0","0","1","10","0","0","5","50","4","40","0","0","364","106","29.12","258","70.88"
"NAGUABO","PR","2017","1","1","100","0","1","1","100","1","0","100","7","0","0","1","14.29","0","0","0","0","6","85.71","0","0","364","110","30.22","254","69.78"
"NANTUCKET","MA","2018","14","14","100","3","0","0","0","1","13","7.14","1","0","0","1","100","0","0","0","0","0","0","0","0","1372","1",".07","1371","99.93"
"NANTUCKET","MA","2017","14","14","100","3","0","0","0","1","13","7.14","1","0","0","0","0","0","0","1","100","0","0","0","0","1372","5",".36","1367","99.64"
"NASSAU","NY","2018","70","69","98.57","36","12","12","100","26","43","37.68","190","0","0","157","82.63","29","15.26","1",".53","2","1.05","1",".53","6900","362","5.25","6539","94.77"
"NASSAU","FL","2018","28","7","25","5","7","7","100","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1708","0","0","1708","100"
"NASSAU","NY","2017","70","69","98.57","36","12","12","100","21","48","30.43","156","0","0","100","64.1","44","28.21","11","7.05","0","0","1",".64","6900","328","4.75","6572","95.25"
"NASSAU","FL","2017","28","7","25","5","7","7","100","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1708","0","0","1708","100"
"NEW HANOVER","NC","2018","21","21","100","35","19","19","100","0","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4494","0","0","4494","100"
"NEW HANOVER","NC","2017","21","21","100","35","19","19","100","0","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4494","0","0","4494","100"
"NEW HAVEN","CT","2018","26","26","100","5","25","25","100","5","21","19.23","6","0","0","1","16.67","5","83.33","0","0","0","0","0","0","-6942","11","-.16","-5607","80.77"
"NEW HAVEN","CT","2017","26","26","100","5","25","25","100","9","17","34.62","12","0","0","0","0","4","33.33","7","58.33","1","8.33","0","0","-6942","39","-.56","-4539","65.38"
"NEW LONDON","CT","2018","13","13","100","2","12","12","100","6","7","46.15","8","0","0","3","37.5","4","50","1","12.5","0","0","0","0","-3471","16","-.46","-1869","53.85"
"NEW LONDON","CT","2017","13","13","100","2","12","12","100","3","10","23.08","5","0","0","1","20","1","20","3","60","0","0","0","0","-3471","16","-.46","-2670","76.92"
"NEWPORT","RI","2018","15","15","100","5","4","4","100","3","12","20","4","0","0","1","25","0","0","2","50","1","25","0","0","1453","17","1.17","1436","98.83"
"NEWPORT","RI","2017","15","15","100","5","4","4","100","3","12","20","6","0","0","3","50","3","50","0","0","0","0","0","0","1453","9",".62","1444","99.38"
"NEWPORT NEWS","VA","2018","4","4","100","1","4","4","100","4","0","100","16","0","0","11","68.75","2","12.5","1","6.25","2","12.5","0","0","612","34","5.56","578","94.44"
"NEWPORT NEWS","VA","2017","4","4","100","1","4","4","100","4","0","100","37","0","0","23","62.16","8","21.62","1","2.7","4","10.81","1","2.7","612","112","18.3","500","81.7"
"NIAGARA","NY","2018","2","2","100","1","2","2","100","2","0","100","5","0","0","1","20","4","80","0","0","0","0","0","0","173","9","5.2","164","94.8"
"NIAGARA","NY","2017","1","1","100","0","1","1","100","1","0","100","2","0","0","0","0","1","50","1","50","0","0","0","0","73","7","9.59","66","90.41"
"NORFOLK","VA","2018","10","10","100","7","10","10","100","10","0","100","25","0","0","19","76","0","0","6","24","0","0","0","0","1530","61","3.99","1469","96.01"
"NORFOLK","MA","2018","22","22","100","5","4","4","100","9","13","40.91","70","0","0","53","75.71","5","7.14","10","14.29","2","2.86","0","0","2156","138","6.4","2018","93.6"
"NORFOLK","MA","2017","22","22","100","5","4","4","100","10","12","45.45","55","0","0","42","76.36","5","9.09","7","12.73","1","1.82","0","0","2156","88","4.08","2068","95.92"
"NORFOLK","VA","2017","10","10","100","7","10","10","100","9","1","90","13","0","0","10","76.92","2","15.38","1","7.69","0","0","0","0","1530","17","1.11","1513","98.89"
"NORTHAMPTON","VA","2018","2","2","100","1","2","2","100","1","1","50","3","0","0","3","100","0","0","0","0","0","0","0","0","306","3",".98","303","99.02"
"NORTHAMPTON","VA","2017","2","2","100","1","2","2","100","1","1","50","3","0","0","2","66.67","1","33.33","0","0","0","0","0","0","306","4","1.31","302","98.69"
"NUECES","TX","2018","43","17","39.53","27","17","17","100","15","2","88.24","249","0","0","67","26.91","143","57.43","29","11.65","9","3.61","1",".4","6188","930","15.03","5262","85.04"
"NUECES","TX","2017","43","17","39.53","27","17","17","100","12","5","70.59","148","0","0","44","29.73","92","62.16","12","8.11","0","0","0","0","6188","264","4.27","5924","95.73"
"OCEAN","NJ","2018","102","62","60.78","4","62","62","100","17","45","27.42","41","0","0","41","100","0","0","0","0","0","0","0","0","8236","41",".5","8195","99.5"
"OCEAN","NJ","2017","102","62","60.78","4","62","62","100","17","45","27.42","29","0","0","29","100","0","0","0","0","0","0","0","0","8236","29",".35","8207","99.65"
"OCEANA","MI","2018","8","5","62.5","1","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","490","0","0","490","100"
"OCEANA","MI","2017","8","5","62.5","1","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","490","0","0","490","100"
"OCONTO","WI","2018","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"OCONTO","WI","2017","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"OKALOOSA","FL","2018","23","12","52.17","29","12","12","100","10","2","83.33","25","0","0","0","0","0","0","0","0","23","92","2","8","2928","482","16.46","2446","83.54"
"OKALOOSA","FL","2017","23","12","52.17","29","12","12","100","11","1","91.67","26","0","0","0","0","0","0","0","0","25","96.15","1","3.85","2928","465","15.88","2463","84.12"
"ONSLOW","NC","2018","14","14","100","25","8","8","100","1","13","7.14","1","0","0","0","0","0","0","0","0","1","100","0","0","2996","16",".53","2980","99.47"
"ONSLOW","NC","2017","14","14","100","25","8","8","100","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2996","0","0","2996","100"
"ONTONAGON","MI","2018","10","2","20","2","0","0","0","2","0","100","8","0","0","4","50","0","0","1","12.5","3","37.5","0","0","210","17","8.1","193","91.9"
"ONTONAGON","MI","2017","10","2","20","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","210","0","0","210","100"
"ORANGE","CA","2018","23","23","100","128","23","23","100","22","1","95.65","435","0","0","65","14.94","80","18.39","222","51.03","56","12.87","12","2.76","8372","2490","29.74","5890","70.35"
"ORANGE","CA","2017","22","22","100","125","22","22","100","21","1","95.45","307","0","0","44","14.33","70","22.8","112","36.48","69","22.48","12","3.91","8008","2166","27.05","5842","72.95"
"OSWEGO","NY","2018","8","8","100","3","3","3","100","6","2","75","6","0","0","0","0","3","50","2","33.33","1","16.67","0","0","746","28","3.75","718","96.25"
"OSWEGO","NY","2017","7","7","100","3","2","2","100","1","6","14.29","1","0","0","0","0","1","100","0","0","0","0","0","0","673","2",".3","671","99.7"
"OTTAWA","OH","2018","7","7","100","3","5","5","100","5","2","71.43","12","0","0","4","33.33","4","33.33","2","16.67","2","16.67","0","0","714","41","5.74","673","94.26"
"OTTAWA","MI","2018","11","5","45.45","1","1","1","100","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","455","0","0","455","100"
"OTTAWA","MI","2017","11","5","45.45","1","1","1","100","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","455","0","0","455","100"
"OTTAWA","OH","2017","7","7","100","3","5","5","100","6","1","85.71","13","0","0","0","0","6","46.15","6","46.15","1","7.69","0","0","714","44","6.16","670","93.84"
"OZAUKEE","WI","2018","11","5","45.45","2","2","2","100","5","0","100","10","0","0","6","60","0","0","4","40","0","0","0","0","490","25","5.1","465","94.9"
"OZAUKEE","WI","2017","11","5","45.45","2","2","2","100","4","1","80","14","0","0","5","35.71","0","0","9","64.29","0","0","0","0","490","46","9.39","444","90.61"
"PACIFIC","WA","2018","57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"PACIFIC","WA","2017","57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"PALM BEACH","FL","2018","24","13","54.17","17","13","13","100","8","5","61.54","14","0","0","0","0","11","78.57","3","21.43","0","0","0","0","4612","36",".78","4576","99.22"
"PALM BEACH","FL","2017","24","13","54.17","17","13","13","100","12","1","92.31","28","0","0","15","53.57","6","21.43","3","10.71","4","14.29","0","0","4612","87","1.89","4525","98.11"
"PAMLICO","NC","2018","9","9","100","3","0","0","0","3","6","33.33","4","0","0","4","100","0","0","0","0","0","0","0","0","1926","4",".21","1922","99.79"
"PAMLICO","NC","2017","9","9","100","3","0","0","0","3","6","33.33","4","0","0","1","25","0","0","3","75","0","0","0","0","1926","13",".67","1913","99.33"
"PASCO","FL","2018","7","5","71.43","2","5","5","100","5","0","100","11","0","0","0","0","0","0","1","9.09","9","81.82","1","9.09","1220","174","14.26","1046","85.74"
"PASCO","FL","2017","7","5","71.43","2","5","5","100","5","0","100","7","0","0","0","0","0","0","1","14.29","4","57.14","2","28.57","1220","233","19.1","987","80.9"
"PATILLAS","PR","2018","1","1","100","0","1","1","100","1","0","100","5","0","0","0","0","0","0","4","80","1","20","0","0","364","40","10.99","324","89.01"
"PATILLAS","PR","2017","1","1","100","0","1","1","100","1","0","100","5","0","0","1","20","0","0","3","60","1","20","0","0","364","35","9.62","329","90.38"
"PENDER","NC","2018","7","7","100","15","6","6","100","1","6","14.29","2","0","0","1","50","0","0","0","0","1","50","0","0","1498","16","1.07","1482","98.93"
"PENDER","NC","2017","7","7","100","15","6","6","100","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1498","0","0","1498","100"
"PETERSBURG","AK","2018","1","1","100","1","1","1","100","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","133","0","0","133","100"
"PETERSBURG","AK","2017","1","1","100","1","1","1","100","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","133","0","0","133","100"
"PIERCE","WA","2018","113","8","7.08","10","9","8","88.89","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","475","0","0","475","100"
"PIERCE","WA","2017","113","8","7.08","10","9","8","88.89","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","475","0","0","475","100"
"PINELLAS","FL","2018","46","11","23.91","13","11","11","100","7","4","63.64","7","0","0","0","0","0","0","7","100","0","0","0","0","4004","21",".52","3983","99.48"
"PINELLAS","FL","2017","46","11","23.91","13","11","11","100","1","10","9.09","1","0","0","0","0","0","0","1","100","0","0","0","0","4004","5",".12","3999","99.88"
"PLYMOUTH","MA","2018","62","62","100","21","0","0","0","4","58","6.45","5","0","0","2","40","2","40","1","20","0","0","0","0","6076","13",".21","6063","99.79"
"PLYMOUTH","MA","2017","62","62","100","21","0","0","0","18","44","29.03","20","0","0","3","15","14","70","3","15","0","0","0","0","6076","48",".79","6028","99.21"
"PONCE","PR","2018","1","1","100","0","1","1","100","1","0","100","1","0","0","0","0","0","0","1","100","0","0","0","0","364","5","1.37","359","98.63"
"PONCE","PR","2017","1","1","100","0","1","1","100","1","0","100","2","0","0","1","50","0","0","1","50","0","0","0","0","364","7","1.92","357","98.08"
"PORTER","IN","2018","7","6","85.71","4","2","2","100","6","0","100","30","0","0","24","80","6","20","0","0","0","0","0","0","604","36","5.96","568","94.04"
"PORTER","IN","2017","7","6","85.71","4","2","2","100","6","0","100","23","0","0","21","91.3","2","8.7","0","0","0","0","0","0","604","25","4.14","579","95.86"
"PRESQUE ISLE","MI","2018","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"PRESQUE ISLE","MI","2017","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"PROVIDENCE","RI","2018","10","10","100","0","3","3","100","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","990","0","0","990","100"
"PROVIDENCE","RI","2017","10","10","100","0","3","3","100","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","990","0","0","990","100"
"QUEEN ANNE'S","MD","2018","1","1","100","0","0","0","0","1","0","100","1","0","0","0","0","0","0","1","100","0","0","0","0","98","4","4.08","94","95.92"
"QUEEN ANNE'S","MD","2017","1","1","100","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","98","0","0","98","100"
"QUEENS","NY","2018","5","5","100","10","2","2","100","3","2","60","25","0","0","4","16","8","32","10","40","3","12","0","0","544","100","18.38","444","81.62"
"QUEENS","NY","2017","5","5","100","10","2","2","100","2","3","40","10","0","0","2","20","2","20","2","20","2","20","2","20","544","186","34.19","358","65.81"
"RACINE","WI","2018","5","5","100","1","2","2","100","3","2","60","23","0","0","22","95.65","1","4.35","0","0","0","0","0","0","490","24","4.9","466","95.1"
"RACINE","WI","2017","5","5","100","1","2","2","100","2","3","40","6","0","0","6","100","0","0","0","0","0","0","0","0","490","6","1.22","484","98.78"
"REFUGIO","TX","2018","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"REFUGIO","TX","2017","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICHMOND","NY","2018","4","4","100","3","1","1","100","3","1","75","10","0","0","1","10","4","40","3","30","2","20","0","0","424","50","11.79","374","88.21"
"RICHMOND","NY","2017","4","4","100","3","1","1","100","4","0","100","5","0","0","0","0","5","100","0","0","0","0","0","0","424","10","2.36","414","97.64"
"RINCON","PR","2018","1","1","100","0","1","1","100","1","0","100","1","0","0","0","0","0","0","1","100","0","0","0","0","364","5","1.37","359","98.63"
"RINCON","PR","2017","1","1","100","0","1","1","100","1","0","100","3","0","0","0","0","0","0","1","33.33","2","66.67","0","0","364","26","7.14","338","92.86"
"ROCKINGHAM","NH","2018","16","16","100","9","6","6","100","8","8","50","11","0","0","1","9.09","5","45.45","4","36.36","1","9.09","0","0","1568","37","2.36","1531","97.64"
"ROCKINGHAM","NH","2017","16","16","100","9","6","6","100","7","9","43.75","9","0","0","1","11.11","6","66.67","2","22.22","0","0","0","0","1568","21","1.34","1547","98.66"
"ROTA","MP","2018","18","18","100","1","18","18","100","0","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6552","0","0","6552","100"
"ROTA","MP","2017","18","18","100","1","18","18","100","6","12","33.33","23","0","0","0","0","23","100","0","0","0","0","0","0","6552","46",".7","6506","99.3"
"SAGADAHOC","ME","2018","10","6","60","2","1","1","100","2","4","33.33","2","0","0","1","50","1","50","0","0","0","0","0","0","588","3",".51","585","99.49"
"SAGADAHOC","ME","2017","7","6","85.71","2","1","1","100","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","588","0","0","588","100"
"SAIPAN","MP","2018","58","58","100","3","58","58","100","0","58","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21112","0","0","21112","100"
"SAIPAN","MP","2017","58","58","100","3","58","58","100","36","22","62.07","169","0","0","0","0","169","100","0","0","0","0","0","0","21112","338","1.6","20774","98.4"
"SALEM","NJ","2018","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"SALINAS","PR","2018","1","1","100","0","1","1","100","1","0","100","1","0","0","0","0","0","0","1","100","0","0","0","0","364","5","1.37","359","98.63"
"SALINAS","PR","2017","1","1","100","0","1","1","100","1","0","100","2","0","0","1","50","0","0","1","50","0","0","0","0","364","6","1.65","358","98.35"
"SAN DIEGO","CA","2018","57","57","100","93","57","57","100","48","9","84.21","606","0","0","61","10.07","24","3.96","503","83","15","2.48","3",".5","20750","2320","11.18","18430","88.82"
"SAN DIEGO","CA","2017","56","56","100","92","56","56","100","51","5","91.07","497","0","0","38","7.65","29","5.84","370","74.45","58","11.67","2",".4","20386","2233","10.95","18153","89.05"
"SAN FRANCISCO","CA","2018","8","8","100","10","8","8","100","8","0","100","93","0","0","43","46.24","24","25.81","24","25.81","2","2.15","0","0","2912","211","7.25","2701","92.75"
"SAN FRANCISCO","CA","2017","8","8","100","10","8","8","100","8","0","100","98","0","0","46","46.94","26","26.53","25","25.51","1","1.02","0","0","2912","221","7.59","2691","92.41"
"SAN JUAN","PR","2018","4","4","100","2","4","4","100","3","1","75","3","0","0","0","0","0","0","2","66.67","1","33.33","0","0","1456","22","1.51","1434","98.49"
"SAN JUAN","WA","2018","214","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"SAN JUAN","WA","2017","214","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"SAN JUAN","PR","2017","4","4","100","2","4","4","100","3","1","75","6","0","0","0","0","0","0","3","50","3","50","0","0","1456","58","3.98","1398","96.02"
"SAN LUIS OBISPO","CA","2018","11","11","100","21","11","11","100","10","1","90.91","92","0","0","27","29.35","5","5.43","50","54.35","10","10.87","0","0","4004","367","9.17","3637","90.83"
"SAN LUIS OBISPO","CA","2017","11","11","100","21","11","11","100","10","1","90.91","89","0","0","28","31.46","3","3.37","28","31.46","30","33.71","0","0","4004","494","12.34","3510","87.66"
"SAN MATEO","CA","2018","20","20","100","12","20","20","100","19","1","95","131","0","0","1",".76","0","0","33","25.19","81","61.83","16","12.21","7280","2932","40.27","4528","62.2"
"SAN MATEO","CA","2017","20","20","100","12","20","20","100","20","0","100","346","0","0","3",".87","3",".87","60","17.34","279","80.64","1",".29","7280","3455","47.46","3874","53.21"
"SAN PATRICIO","TX","2018","6","1","16.67","0","0","0","0","1","0","100","6","0","0","3","50","3","50","0","0","0","0","0","0","364","9","2.47","355","97.53"
"SAN PATRICIO","TX","2017","6","1","16.67","0","0","0","0","1","0","100","1","0","0","0","0","1","100","0","0","0","0","0","0","364","2",".55","362","99.45"
"SANILAC","MI","2018","12","5","41.67","0","0","0","0","4","1","80","5","0","0","1","20","3","60","1","20","0","0","0","0","470","10","2.13","460","97.87"
"SANILAC","MI","2017","12","5","41.67","0","0","0","0","2","3","40","2","0","0","1","50","1","50","0","0","0","0","0","0","470","3",".64","467","99.36"
"SANTA BARBARA","CA","2018","15","15","100","17","15","15","100","15","0","100","63","0","0","0","0","13","20.63","35","55.56","10","15.87","5","7.94","5460","753","13.79","4707","86.21"
"SANTA BARBARA","CA","2017","15","15","100","17","15","15","100","15","0","100","66","0","0","6","9.09","3","4.55","40","60.61","17","25.76","0","0","5460","434","7.95","5026","92.05"
"SANTA CRUZ","CA","2018","21","21","100","14","21","21","100","1","20","4.76","1","0","0","0","0","0","0","1","100","0","0","0","0","4473","3",".07","4470","99.93"
"SANTA CRUZ","CA","2017","21","21","100","14","21","21","100","20","1","95.24","71","0","0","1","1.41","46","64.79","1","1.41","22","30.99","1","1.41","4473","682","15.25","3791","84.75"
"SANTA ISABEL","PR","2018","1","1","100","0","1","1","100","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","365","0","0","365","100"
"SANTA ISABEL","PR","2017","1","1","100","0","1","1","100","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","365","0","0","365","100"
"SANTA ROSA","FL","2018","10","5","50","19","5","5","100","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1220","0","0","1220","100"
"SANTA ROSA","FL","2017","10","5","50","19","5","5","100","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1220","0","0","1220","100"
"SARASOTA","FL","2018","34","16","47.06","19","16","16","100","15","1","93.75","29","0","0","8","27.59","3","10.34","17","58.62","1","3.45","0","0","5824","87","1.49","5737","98.51"
"SARASOTA","FL","2017","34","16","47.06","19","16","16","100","3","13","18.75","3","0","0","3","100","0","0","0","0","0","0","0","0","5824","3",".05","5821","99.95"
"SCHOOLCRAFT","MI","2018","9","2","22.22","1","2","2","100","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","210","0","0","210","100"
"SCHOOLCRAFT","MI","2017","9","2","22.22","1","2","2","100","2","0","100","4","0","0","3","75","0","0","0","0","1","25","0","0","210","11","5.24","199","94.76"
"SHEBOYGAN","WI","2018","15","7","46.67","4","5","5","100","7","0","100","32","0","0","13","40.63","5","15.63","13","40.63","1","3.13","0","0","686","96","13.99","590","86.01"
"SHEBOYGAN","WI","2017","15","7","46.67","4","5","5","100","5","2","71.43","29","0","0","18","62.07","3","10.34","8","27.59","0","0","0","0","686","50","7.29","636","92.71"
"SKAGIT","WA","2018","65","1","1.54","1","1","1","100","1","0","100","1","0","0","0","0","1","100","0","0","0","0","0","0","105","2","1.9","103","98.1"
"SKAGIT","WA","2017","65","1","1.54","1","1","1","100","1","0","100","1","0","0","0","0","0","0","1","100","0","0","0","0","105","6","5.71","99","94.29"
"SNOHOMISH","WA","2018","39","7","17.95","8","7","7","100","0","7","0","1","0","0","0","0","0","0","0","0","0","0","1","100","679","0","0","679","100"
"SNOHOMISH","WA","2017","39","7","17.95","8","7","7","100","0","7","0","1","0","0","0","0","0","0","0","0","0","0","1","100","679","0","0","679","100"
"SOMERSET","MD","2018","1","1","100","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","98","0","0","98","100"
"SOMERSET","MD","2017","1","1","100","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","98","0","0","98","100"
"SONOMA","CA","2018","6","6","100","5","6","6","100","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1278","0","0","1278","100"
"SONOMA","CA","2017","6","6","100","5","6","6","100","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1278","0","0","1278","100"
"ST. CLAIR","MI","2018","15","8","53.33","3","5","5","100","6","2","75","14","0","0","9","64.29","5","35.71","0","0","0","0","0","0","872","19","2.18","853","97.82"
"ST. CLAIR","MI","2017","15","8","53.33","3","5","5","100","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","872","0","0","872","100"
"ST. CROIX ISLAND","VI","2018","19","19","100","1","16","16","100","16","3","84.21","38","0","0","0","0","0","0","38","100","0","0","0","0","6916","129","1.87","6787","98.13"
"ST. CROIX ISLAND","VI","2017","20","20","100","1","17","17","100","15","5","75","36","0","0","0","0","0","0","36","100","0","0","0","0","7280","108","1.48","7172","98.52"
"ST. JOHN","VI","2018","1","1","100","5","1","1","100","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","365","0","0","365","100"
"ST. JOHN","VI","2017","1","1","100","5","1","1","100","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","365","0","0","365","100"
"ST. JOHN ISLAND","VI","2018","7","7","100","0","4","4","100","5","2","71.43","29","0","0","0","0","0","0","29","100","0","0","0","0","2548","92","3.61","2456","96.39"
"ST. JOHN ISLAND","VI","2017","7","7","100","0","4","4","100","5","2","71.43","21","0","0","0","0","0","0","21","100","0","0","0","0","2548","63","2.47","2485","97.53"
"ST. JOHNS","FL","2018","8","6","75","27","6","6","100","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1464","0","0","1464","100"
"ST. JOHNS","FL","2017","8","6","75","27","6","6","100","1","5","16.67","1","0","0","0","0","1","100","0","0","0","0","0","0","1464","2",".14","1462","99.86"
"ST. LOUIS","MN","2018","34","16","47.06","12","8","8","100","10","6","62.5","19","0","0","4","21.05","8","42.11","4","21.05","2","10.53","1","5.26","1419","93","6.55","1326","93.45"
"ST. LOUIS","MN","2017","34","16","47.06","12","8","8","100","11","5","68.75","26","0","0","10","38.46","6","23.08","5","19.23","5","19.23","0","0","1419","142","10.01","1277","89.99"
"ST. LUCIE","FL","2018","25","5","20","6","5","5","100","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1820","0","0","1820","100"
"ST. LUCIE","FL","2017","25","5","20","6","5","5","100","4","1","80","6","0","0","0","0","2","33.33","1","16.67","3","50","0","0","1820","34","1.87","1786","98.13"
"ST. MARY","LA","2018","1","1","100","0","1","1","100","1","0","100","4","0","0","0","0","0","0","0","0","3","75","1","25","183","93","50.82","90","49.18"
"ST. MARY","LA","2017","1","1","100","0","1","1","100","1","0","100","7","0","0","0","0","0","0","3","42.86","3","42.86","1","14.29","183","92","50.27","91","49.73"
"ST. MARY'S","MD","2018","2","2","100","0","2","2","100","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","196","0","0","196","100"
"ST. MARY'S","MD","2017","2","2","100","0","2","2","100","1","1","50","1","0","0","0","0","0","0","1","100","0","0","0","0","196","3","1.53","193","98.47"
"ST. TAMMANY","LA","2018","1","1","100","0","1","1","100","1","0","100","5","0","0","1","20","0","0","1","20","1","20","2","40","183","118","64.48","65","35.52"
"ST. TAMMANY","LA","2017","1","1","100","0","1","1","100","1","0","100","2","0","0","0","0","0","0","0","0","1","50","1","50","183","98","53.55","85","46.45"
"ST. THOMAS ISLAND","VI","2018","16","16","100","1","14","14","100","15","1","93.75","107","0","0","0","0","0","0","107","100","0","0","0","0","5824","336","5.77","5488","94.23"
"ST. THOMAS ISLAND","VI","2017","16","16","100","1","14","14","100","12","4","75","57","0","0","0","0","0","0","57","100","0","0","0","0","5824","171","2.94","5653","97.06"
"SUFFOLK","MA","2018","18","18","100","8","3","3","100","9","9","50","48","0","0","32","66.67","5","10.42","10","20.83","0","0","1","2.08","1764","136","7.71","1628","92.29"
"SUFFOLK","NY","2018","190","189","99.47","41","23","23","100","74","115","39.15","587","0","0","267","45.49","174","29.64","138","23.51","7","1.19","1",".17","19294","1252","6.49","18042","93.51"
"SUFFOLK","MA","2017","18","18","100","8","3","3","100","6","12","33.33","43","0","0","25","58.14","6","13.95","12","27.91","0","0","0","0","1764","90","5.1","1674","94.9"
"SUFFOLK","NY","2017","189","188","99.47","41","22","22","100","73","115","38.83","358","0","0","112","31.28","214","59.78","29","8.1","2",".56","1",".28","19185","749","3.9","18436","96.1"
"SUSSEX","DE","2018","21","21","100","21","13","13","100","3","18","14.29","3","0","0","3","100","0","0","0","0","0","0","0","0","2531","3",".12","2528","99.88"
"SUSSEX","DE","2017","21","21","100","21","13","13","100","4","17","19.05","4","0","0","4","100","0","0","0","0","0","0","0","0","2531","4",".16","2527","99.84"
"TAYLOR","FL","2018","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"TAYLOR","FL","2017","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"TEST","CN","2018","2","2","100","200","2","2","100","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","333","0","0","333","100"
